,hangeul_subseq,english_translation
136,아프리,Afri
137,살,flesh
138,주소,Address
139,십만,"100,000"
140,비,Rain
141,기차표,a train ticket
142,소포,Parcel
143,할,Hal
144,전,Jeon
145,이징,Ising
146,분,minute.
147,중국,China
148,서관,the west wing
149,착,Here
150,샤,Yes
151,너무,Too
152,언,Frozen
153,소,Cow.
154,가방,Bag
155,다이,a big fish
156,택시,a taxi
157,기다,Crawl
158,베이징,Beijing
159,비싸,It's expensive
160,신,god
161,초등학생,elementary school student
162,화번호,Phone number
163,영장,a warrant
164,삼성역,Samseong Station
165,셔츠,shirts
166,지난,Last
167,구원,Salvation
168,독,Poison
169,화요,Tuesday
170,회사원,an office worker
171,캐나,Canada
172,행,Row
173,숟가,A spoon
174,사과,apple
175,빵,Bread
176,하얀,white
177,스,S
178,화,anger
179,하철,a summer season
180,스파,The spa
181,고등학생,High school student
182,한국,Korea
183,등,back
184,똑,"Knock, knock"
185,핸드,Hand
186,코,The nose
187,후,After
188,써,Wear it
189,모,Moe.
190,찾,Find
191,복,luck
192,자전거,Bicycle
193,월요,Monday
194,앞,front
195,스파게티,Spaghetti
196,전화번호,Phone number
197,탁,with a thud
198,뒷사,a back-door
199,무겁,Heavy
200,포크,Fork
201,눈사람,a snowman
202,걷,Walk
203,빔,beam
204,달,Month
205,예술의,art
206,테니스,Tennis
207,연구원,Researcher
208,십,Ten
209,기분,one's
210,이름,Name
211,쿄,Hello
212,하얀색,White
213,케,K
214,다리,Leg
215,림,Rim
216,같,Together
217,작,work
218,일곱,Seven
219,공책,a notebook
220,선회,Swivel
221,높,High
222,빨리,Quick.
223,할아,grandmother
224,건,case
225,뉴욕,New York.
226,겁,Fear
227,시청역,City Hall Station
228,상,Prize
229,돌방,a stone room
230,다른,different
231,백화,a white flower
232,운동,Exercise
233,말하,Say it
234,이스크,Isk
235,얼마나,How much
236,신문,Newspaper
237,생님,Sir
238,잡,Job
239,햄버,a hamburger
240,말레이,Malay
241,지하철역,a subway station
242,노란색,Yellow
243,출근,attendance
244,좋,I like it's good
245,요즘,these days
246,내일,Tomorrow
247,요금,Fare
248,어머,gosh
249,신발,Shoes
250,음식,Food
251,파티,Party
252,없,Nothing
253,마드,Mad
254,천,thousand
255,피,Blood
256,뭘,What?
257,병,Disease
258,이야,Wow
259,도와주,Help me
260,젓,salted seafood
261,들,Field
262,사월,April
263,베트,Viet
264,깨,Sesame
265,따뜻,Warm
266,할머니,Grandma.
267,채,stick
268,바지,Pants
269,행기,hangings
270,똑똑,"knock, knock"
271,보,step
272,저분,That person
273,왼쪽,the left
274,곱,Multiply
275,오렌지,Orange
276,예약,Reservation
277,아침,Morning
278,벌,Punishment
279,극장,Theater
280,필,Phil
281,족,foot
282,따,Open it
283,배,ship
284,가게,The store
285,비행,Flight
286,장,chapter
287,아직,Yet
288,피라미드,The Pyramid
289,은행원,a bank clerk
290,의,of
291,발,Feet
292,함,ship
293,안,inside
294,찌,Scissors
295,머,What?
296,기침,Coughing
297,배고프,I'm hungry
298,용,Dragon
299,위,Above
300,나중에,Later on
301,질,Quality
302,석,Three
303,병원,a hospital
304,나,I
305,짧,Short
306,계시,Revelation
307,술의,liquor
308,그분,That person
309,삼월,March
310,버스,Bus
311,숙사,an accommodation
312,길,way
313,화장,Makeup
314,메라,The camera
315,받,Here you go
316,한라산,Halla Mountain
317,피라미,the Great Pyramid
318,침대,Bed
319,벌써,Already
320,그렇,That's right
321,기다리,Wait
322,힘,Force
323,사원,Employee
324,청바,Blue jeans
325,멀,Mul
326,호사,an extravagant figure
327,회색,Gray
328,영국,the United Kingdom
329,괜,It's okay
330,이렇,Like this
331,직,a regular job
332,중학생,Middle school student
333,들어가,Go in
334,포,cannon
335,버지,Father
336,가,go
337,참,Oh
338,일본,Japan
339,십일,Ten days
340,이시,this time of year
341,갑,Promontory
342,보내,Send it
343,이번,This
344,태권도,Taekwondo
345,주스,Juice
346,프리카,Freeka
347,티셔츠,T-shirt
348,멋,fashionable
349,인사동,Insadong
350,아기,a baby
351,토요일,Saturday
352,수영,Swimming
353,맛없,It's not good
354,미,Beauty
355,캐,Ca
356,차표,a ticket
357,철,Iron
358,백화점,Department Store
359,콜라,Coke
360,크림,Cream
361,피자,Pizza
362,에,to
363,낮,Daytime
364,누구,Who
365,렇지만,But
366,각,Each
367,르,"""Re"
368,코트,Coat
369,말,Horse
370,기차,The train.
371,이상,More than
372,라산,Lasan Mountain
373,간색,a light color
374,호텔,Hotel
375,많이,Much
376,철역,a railway station
377,별로,not much
378,우체국,the post office
379,티,Tea
380,깎,Shave it
381,대학생,a university student
382,말레,Mallet
383,회의,a conference
384,국어,Korean language
385,도서,Books
386,문,Door
387,볼펜,a ballpoint pen
388,우체,the post office
389,담,Wall
390,준,Jun
391,커,Big
392,추석,Chuseok
393,이거,This
394,연,Kite
395,비전,Vision
396,지갑,Wallet
397,라마,The llama
398,성함,Your name
399,음악,Music
400,샤워,Shower
401,개,Dog
402,씨,seed
403,사진,Pictures
404,정말,Really
405,포도,grape
406,란색,Yellow
407,생일,Birthday
408,딩,Ding
409,걱정,Worries
410,일기,Diary
411,드라마,Drama
412,미드,Mid
413,시청,City Hall
414,레비,Levy
415,백,Hundred
416,님,sir
417,담배,cigarette
418,천공항,Sky Airport
419,지하,Underground
420,빨간색,Red
421,들어,Lift it
422,열,Heat
423,오렌,Oren
424,하기,summer
425,태권,Taekwondo
426,도서관,Library
427,제주도,Jeju Island
428,떻게,How do you
429,넷,Four
430,프,P
431,꾸,Goo
432,늘,Always
433,내리,Get off
434,히,He
435,스키장,a ski resort
436,빨,Red
437,도착,Arrival
438,날씨,Weather
439,파,Welsh onion
440,츠,Chew
441,얀,Hello
442,엌,Ugh
443,춥,Cold
444,행사,Event
445,덟,The sun is bigger
446,너,You
447,도,degree
448,권도,the capital of the world
449,근,Korean Unit of Weight
450,작년,Last year
451,남동,South East
452,예,Yes
453,아버,Father
454,찍,Dipping
455,핸드폰,Cell phone
456,책,Books
457,생선,Fish
458,맛있,Delicious
459,콜,call
460,맥주,Beer
461,이어,Continuing on
462,점심,lunch
463,당,sugar
464,테니,TENNIE
465,무실,no room
466,어제,Yesterday
467,모자,Hat
468,드시,Please
469,밥,Rice
470,홍차,black tea
471,이야기,Story
472,파게,green onion crab
473,그리고,And
474,노,Paddle
475,독일,Germany
476,이분,This person
477,이스,Eis
478,티셔,Tisher
479,햄,Ham
480,중,Middle
481,은,Silver
482,어깨,Shoulder
483,남편,Husband
484,명동,Myeongdong
485,그런데,by the way
486,감기,cold
487,쉬,Shh
488,물,Water
489,천공,perforation
490,육,six
491,준비,Ready
492,오빠,Older brother
493,크,big
494,무,Radish
495,안일,complacency
496,입,Mouth
497,역,Station
498,미없,without meaning
499,편지,Letters
500,중국어,Chinese
501,피아,The Pia
502,사무실,Office
503,냉장고,refrigerator
504,악,Yikes
505,회사,Company
506,반,Half
507,내,My
508,선,Line
509,많,A lot
510,세일,Discount
511,목요,Thursday
512,험,rough
513,걱,Worry
514,지만,"However,"
515,장실,a funeral home
516,어렵,It's hard
517,고등학,higher education
518,덥,The
519,토,Toe
520,십이,twelve
521,약속,Promise
522,우리,We
523,온,On
524,좋아,OK.
525,출발,Departure.
526,즘,these days
527,기,Flag
528,맛,Taste
529,전거,Previous
530,어떻게,How
531,몇,Few
532,초등,Elementary
533,냉장,Refrigeration
534,허리,Waist
535,재미,Fun
536,빌딩,building
537,끝나,It's over
538,카메라,Camera
539,번,Earned
540,구두,Shoes
541,연구,Research
542,간표,a token ticket
543,등학생,a schoolboy
544,셋,Three
545,갈,Gal
546,추,"""Chu"
547,다치,an injury
548,일,Work
549,남,others
550,지하철,the subway
551,주차장,parking lot
552,택,Tack
553,바쁘,Busy
554,생,Saint
555,커피,Coffee
556,난,orchid
557,녁,evening
558,날,day
559,주차,Parking
560,아래,Below.
561,그림,Painting
562,쓰,S
563,갈색,Brown
564,나쁘,bad
565,앉,Sit down
566,수요일,Wednesday
567,부,Wealth
568,기숙사,Dormitory
569,금,gold
570,식,Ceremony
571,학,Crane
572,화장실,Washroom.
573,동역,East Station
574,넘,It's so
575,이시아,Isia
576,집,Home
577,돌,Stone
578,관,Coffin
579,부치,Butch
580,쯤,around here
581,친,one's own family
582,옷,Clothes
583,뒷사람,the person in the back
584,대학,university
585,딸,daughter
586,소파,Sofa
587,뒤,Back
588,마,bad luck
589,언제,When
590,아홉,Nine
591,래,Here
592,여자,Woman
593,미안,Sorry
594,파게티,Fagetti
595,할머,grandmother
596,차장,Deputy director
597,마드리드,Madrid
598,만지,a touch of the earth
599,두,Two
600,호선,a line of honor
601,화요일,Tuesday
602,누,nu
603,외,Addition
604,결혼,marriage
605,질문,Question
606,텔레비,television
607,레이시아,Lacy's
608,집안,the family
609,금요,Friday
610,디,D
611,수요,Demand
612,냉면,Cold noodles
613,원,Circle
614,폰,phone
615,전화,Phone
616,태,a form
617,대,Versus
618,라미드,Lamid
619,파란색,Blue
620,고기,Meat
621,남자,Man
622,투표,Voting
623,른쪽,the other side
624,허,Huh
625,손,Hands
626,야구,Baseball
627,끝내,in the end
628,피우,Blood
629,삼,Three
630,찬,Cold
631,다,All
632,얀색,a light color
633,젓가,Chopsticks
634,빌,Bill
635,말하기,speaking
636,게,Crab
637,청소,Cleaning
638,있,There is
639,쪽,Side
640,할아버,grandfather
641,점,Point
642,수영장,a swimming pool
643,고등,High
644,복잡,Complexity
645,하나,One.
646,르치,Leach
647,치마,Skirt.
648,산,Mountain
649,랑스,Rance
650,화점,a flower shop
651,주,Week
652,른,R
653,맥,Mac
654,나중,Later on
655,락,Rock
656,슬,Geniculum
657,머리,Head
658,슨,Son of a
659,렇게,Like this
660,기자,editor
661,콧물,Runny nose
662,라,La
663,둘,Two
664,극,Play
665,떻,What?
666,핸,"""HAN"
667,번호,Number
668,파란,blue
669,름,Rm
670,온돌방,Ondol Room
671,꽃,flower
672,스파게,Spaghetti
673,노래,Singing
674,약국,a pharmacy
675,세탁소,Laundry
676,아노,"Oh, no"
677,뒷,Back
678,국,Soup
679,로마,the Roman Empire
680,저거,That
681,영화,Movies
682,학생,Student
683,자리,Seat
684,다섯,Five
685,어나,"Oh, my"
686,예쁘,Pretty
687,청,request
688,먹,Muk (meok
689,컴퓨터,Computer
690,아들,Son.
691,괜찮,okay
692,홍,Hong
693,테,The
694,고,High
695,얼,Earl
696,야채,vegetable
697,스키,Ski
698,업,Up.
699,찬물,cold water
700,어지,I.Number
701,시아,siah
702,니스,Nice
703,특,Special
704,사동,Sa-dong. (Sa-dong)
705,슬프,Sadness
706,사전,Dictionary
707,제,My
708,레,"""Re"""
709,십일월,November
710,기타,Guitar
711,공항,the airport
712,시장,market
713,등산,Climbing
714,시간,Time
715,불고,Blow it
716,라미,Rami
717,눈사,death from snow
718,부산,Busan
719,안내,announcement
720,비빔,Bibim (spicy stir-fried noodles)
721,호주,Australia
722,은행,Bank
723,교,Religion
724,잔,Cup
725,피곤,fatigue
726,워,War
727,그리,GRE
728,닫,Close it
729,얼마,How much
730,마나,My goodness
731,권,Kwon
732,주일,week
733,김,Kim
734,차,Tea
735,주도,the capital city
736,브라질,Brazil
737,피숍,Pishop
738,어가,Yes
739,이,Tooth
740,다니,What are you mean?
741,피라,a piranha
742,초,second
743,사무,clerical work
744,어트,Eart
745,동생,Younger brother
746,재,Ashes
747,춤추,Dancing
748,사람,People
749,휴,Phew
750,까만,black
751,서,West
752,그래,Okay.
753,우산,Umbrella
754,프랑스,France
755,칠,painting
756,쉽,Easy
757,비빔밥,Bibimbap
758,귀,Ear
759,심심,bored
760,만,ten thousand
761,도와,Help
762,오늘,today
763,며칠,A few days.
764,더,More
765,명,order
766,빠르,Come on
767,로,As
768,징,Ging
769,일요일,Sunday
770,드리드,Dried
771,숟,Spoon
772,시끄,Quietly
773,달러,Dollar
774,누가,Who
775,김밥,rice roll
776,바꾸,Change it
777,돈,Money
778,퓨터,Putter
779,한복,Hanbok
780,어,Uh.
781,가락,a musical instrument
782,여행사,a travel agency
783,냉,Cold
784,예술,Art
785,중학,middle school
786,여동,a woman's child
787,그럼,then
788,컴,Come on
789,강,River
790,면,Cotton
791,선생님,Teacher
792,혼자,Alone
793,조금,A little bit.
794,항상,All the time
795,본어,one's
796,홉,Hope
797,재미있,It's fun
798,드라,Dr
799,빠,Paper
800,아이,Child
801,이월,February
802,만들,I'll make
803,김치,Kimchi
804,그거,That
805,터,Site
806,뉴,New
807,텔레,Tele
808,늦,late
809,한라,Halla
810,녹색,Green
811,힘들,Tired
812,스크림,Scream
813,부엌,kitchen
814,축구,Soccer
815,십이월,December
816,러,R
817,손님,Customer
818,성,Last Name
819,직업,occupation
820,이어트,Eat
821,트,T
822,베,Be
823,럽,Luv
824,뜻,Meaning
825,실,thread
826,일어나,Wake up.
827,탁소,clean and dry
828,오후,Afternoon
829,그래서,so
830,여덟,Eight
831,컴퓨,Computer
832,빔밥,Bimbab
833,끄,Turn it off
834,동,East
835,오월,May
836,지금,Now
837,또,also
838,본,bone
839,재미없,It's not fun
840,래서,That's why
841,여행,Traveling
842,춤,Dance
843,아주,Very.
844,그렇지만,But
845,저,That
846,지,Ji
847,섯,Five
848,메뉴,Menu
849,마드리,Madrid
850,맵,Map
851,쁘,P
852,렌지,Microwave oven
853,우개,a dog with a heavy rain
854,일요,Sunday
855,어떻,How
856,한,han
857,바나나,Banana
858,버거,The burger
859,창문,Window
860,리사,Lisa
861,잘,Well
862,시끄럽,It's loud
863,하철역,Hachol Station
864,오른,Right
865,인,Person
866,심,Lead
867,이메,E-mail
868,의사,a doctor
869,중에,During
870,렇,Well
871,삼성,Samsung
872,과일,Fruit
873,국적,Nationality
874,고민,Worries
875,아프리카,Africa
876,텔레비전,Television
877,싸,It's cheap
878,진,jean
879,란,Column
880,층,Layer
881,공,Ball
882,연필,Pencil
883,다이어트,Diet
884,어떤,what
885,아프,hurt
886,청바지,Jeans
887,목요일,Thursday
888,일월,January
889,세,rent
890,숍,The shop
891,누나,older sister
892,생각,idea
893,섭,Mussel
894,혼,soul
895,년,year
896,레이,Ray
897,무섭,I'm scared
898,주말,Weekend
899,머니,Money
900,사,Buy
901,구월,September
902,결,Grain
903,매일,every day
904,왼,Left
905,빨간,Red.
906,요리,Cooking
907,인천공항,Incheon International Airport
908,오른쪽,right
909,초등학,elementary school
910,엽서,Postcard
911,녹,rust
912,말레이시아,Malaysia
913,하루,One day
914,체국,a state of affairs
915,럼,rum
916,명동역,Myeong-dong Station
917,축,axis
918,전혀,Never.
919,숙제,Homework
920,여동생,Younger Sister
921,책상,Desk
922,리고,Rigo
923,화번,Hwabun (Hwabun)
924,땀,Sweat
925,서울,Seoul
926,우유,Milk
927,치,phooey
928,젓가락,Chopsticks
929,월요일,Monday
930,뭐,what
931,지우개,Eraser
932,저녁,Dinner
933,일어,Japanese
934,공부,Study
935,간,Liver.
936,고프,Goff
937,출,Exodus
938,휴대,Carrying
939,그렇지,That's right.
940,며,Yes
941,자전,an autobiography
942,성역,sanctuary
943,등학,going to school
944,욕,cursing
945,하,Ha
946,케이,Kei
947,콧,The nose
948,케이크,Cake
949,민,Min
950,시험,an examination
951,음,Well.
952,펜,The pen.
953,드,De
954,감,Persimmon
955,남동생,Younger brother
956,행원,an entrepreneur
957,여,woman
958,일본어,Japanese
959,제주,Jeju
960,아,Ah.
961,아타,Ata
962,배우,Actor
963,까만색,Black
964,녹차,Green tea
965,편,Side
966,메,Me
967,다음,next
968,갈아타,Let's transfer
969,여섯,Six
970,시내,Downtown
971,배고,I'm hungry
972,목,Neck
973,프랑,French francs
974,게티,Getty
975,사랑,love
976,듣,Listen
977,볼,Ball
978,같이,Together
979,베이,Bei
980,와,Wow
981,불고기,Bulgogi
982,피아노,Piano
983,직원,Staff
984,벗,Friend
985,키장,the height
986,시간표,Timetable
987,이스크림,This cream
988,전화번,Phone number
989,사용,Use
990,체,Sieve
991,야기,Yagi (meaning 'meaning 'meaning 'meaning'
992,드폰,DePhone
993,요리사,a cook
994,리,Lee
995,렵,rap.P
996,외국,foreign country
997,시계,Clock
998,숙,Deep down
999,계,Korean traditional private funding
1000,찮,It's cold
1001,운,luck
1002,자,Let's.
1003,어디,Where
1004,이크,Jeez.
1005,수,Number
1006,세우,Put it up
1007,말레이시,Malay City of Malaysia
1008,유,you
1009,까,Take it off
1010,금요일,Friday
1011,가르,Gar
1012,표,a ticket
1013,다이어,Dyer
1014,도쿄,Tokyo
1015,우,Ooh
1016,무슨,What
1017,침,Saliva
1018,월,month
1019,프리,Free
1020,리카,Rika
1021,밖,Outside
1022,옷장,Closet
1023,할아버지,Grandfather
1024,옆,Next to
1025,과,Department
1026,공원,a park
1027,가르치,teaching
1028,좀,Some
1029,이용,Utilization
1030,아이스,Ice
1031,술,Alcohol
1032,걸리,Gully
1033,버,Bur
1034,빨래,Laundry
1035,브,V
1036,바,Bar
1037,집안일,household chores
1038,인사,Greetings
