,hanja_subsequence,english_translation
192,案內,the inside
193,常,all the time
194,地下鐵驛,subway station
195,掃,sweep
196,內,inside
197,廳,office
198,泳,swim
199,生,bear
200,洲,continental
201,遞,hand over
202,家族,family
203,心,heart
204,仁川空,Incheon Airport
205,跆,kick
206,親舊,close friendship with the old.
207,質問,question
208,工,engineer
209,鐵驛,a railroad station
210,醫,heal
211,小包,a small bag
212,料理師,cook
213,十一,eleven
214,館,gallery
215,午前,before noon
216,感,feel
217,自,self
218,約束,constrain
219,漢拏,Chinese yam
220,港,harbor
221,夫,husband
222,每,every time
223,看護,nurse
224,鳴,chime
225,話,a word
226,濠,a mountain
227,下鐵,cast iron
228,汽,steam
229,音樂,music
230,康,fit
231,電話,Phone number.
232,初等學,elementary school
233,空港,an air port
234,車場,a parking lot
235,色,colour
236,線,thread
237,今,this day
238,放,let slide
239,族,family
240,語,language
241,逸,loose
242,韓國語,Korea language
243,週,week
244,案,plan
245,拳,punch
246,公,public
247,務室,office
248,大學生,a college student
249,三,three
250,曜日,observation day
251,蹴球,kick a ball
252,街,street
253,地,earth
254,川,stream
255,飮,飮
256,川空港,Sichuan Airport
257,葉書,leaf book
258,金曜日,a golden day
259,綠茶,green tea
260,籍,register
261,號線,line
262,前,background
263,敎室,classroom
264,初等,elementary school
265,記,record
266,票,ticket
267,五月,May.
268,金曜,gold observation
269,街坊,neighborhood
270,十二,twelve
271,試,experimentally
272,空冊,an empty book
273,會,"Yes, sir."
274,聞,smell
275,携帶,carry
276,午,afternoon
277,濟,save
278,號,number
279,利用,make use
280,野,wild
281,球,ball
282,飛行機,a flying machine
283,溫,warm
284,寫眞,photograph
285,行員,clerk
286,國籍,nationality
287,來日,the next day
288,校,school
289,月曜日,obsidian day
290,宿舍,hostel
291,韓國,韓國
292,洗,wash
293,十二月,December
294,果,fruit
295,麵,countenance
296,高等,advanced
297,灰,dust
298,冷麵,cold noodles
299,運轉,run
300,典,book
301,口,mouth
302,木曜,observation
303,地下鐵,subway
304,雨傘,umbrella
305,圖書,book
306,土曜,earth observation
307,子,son
308,市內,the inner city
309,自主,independence
310,敎,teach
311,跆拳道,kickboxing
312,醫師,Doctor.
313,登山,climb a mountain
314,住所,residence
315,事,event
316,牛,cattle
317,末,the last
318,感氣,be moved by
319,究員,researcher
320,出,come out
321,旅行,travel
322,舊,old days
323,至難,the greatest difficulty
324,麥酒,ale
325,本,book
326,寢臺,bedside
327,園,garden
328,記者,a journalist
329,一,one
330,年,year
331,筆,brush
332,新聞,news
333,日記,diary
334,冷藏,refrigeration
335,氣分,air
336,分,share
337,每日,every day
338,道,way
339,濟州,Jeju Island
340,日本語,Japanese language
341,投,cast
342,酒,wine
343,頭,head
344,自轉車,a revolving car
345,藏庫,a repository
346,拏,拏
347,仁,benevolence
348,硏,study
349,庫,bank
350,火曜,fire observation
351,州島,a state island
352,昨年,last year
353,十萬,one hundred thousand
354,月,month
355,鉛筆,pencil
356,事務,business
357,漢,Chinese
358,問,ask
359,葡,Portuguese
360,來,Come on.
361,利,benefit
362,綠,green
363,牛乳,milk
364,土曜日,obsidian day
365,洗濯,wash
366,至,come to
367,洗濯所,a washing house
368,帶,carry
369,飮食,食eat
370,電,electricity
371,女子,a woman
372,薔薇,rose
373,辭典,dictionary
374,濯所,a washroom
375,菜,dish
376,料,material
377,驗,check
378,食,eat
379,難,difficult
380,椅,chair
381,劇,dramatic
382,郵遞局,post office
383,點,point
384,日曜日,obsidian day
385,下鐵驛,get off at a railroad station
386,番,several times
387,料金,material gold
388,葡萄,grape
389,會社,association
390,雨,rain
391,車,car
392,釜,kettle
393,學生,student
394,高,be high
395,結婚,get married
396,旅,brigades
397,英語,English
398,病,illness
399,健,strong
400,畵,paint
401,突,out of heart
402,時間表,timetable
403,公園,park
404,行社,a local government
405,職,duty
406,月曜,observation
407,貨,article
408,看護師,nurse
409,業,industry
410,男便,a man's stool
411,溫突房,thermal shock chamber
412,空,empty
413,苦,bitter
414,二月,February
415,理師,a management officer
416,褐色,brownish
417,話番,the last word
418,苦悶,anguish
419,淸掃,clean up
420,氣,air
421,題,title
422,小,small
423,化,change
424,音,sound
425,帽,hat
426,只,only
427,學,learn
428,女,woman
429,百貨店,department store
430,釜山,"Busan, Republic of"
431,夕,evening
432,窓門,门door
433,中學生,a middle school student
434,跆拳,kickboxing
435,店,shop
436,同生,be of the same birth
437,茶,tea
438,局,department
439,獨逸,be alone
440,究,investigate
441,水泳,swim in the water
442,二,two
443,他,him
444,拏山,a mountain
445,泳場,swimming pool
446,郵,mail
447,映,reflect
448,行,"Yes, sir."
449,食堂,dining room
450,料理,cook
451,時,time
452,九,nine
453,束,bundle
454,映畵,picture
455,中學,secondary school
456,紙,paper
457,中國語,Chinese language
458,房,house
459,出發,Let's go.
460,美國,the United States
461,冷藏庫,cold storage
462,仁川空港,Incheon Airport
463,同,agree
464,濠洲,"Hao Chau, New Territories"
465,汽車,an automobile
466,休暇,break
467,國,country
468,化粧室,make-up
469,初等學生,elementary school student
470,硏究員,researcher
471,十,ten
472,下,drop
473,宿,bed
474,野球,a wild ball
475,親,close
476,銀行,bank
477,驛,post
478,恒,constant
479,質,quality
480,圖書館,library
481,駐,stop
482,帽子,hat
483,島,island
484,便紙,paper
485,電話番,a telephone operator
486,午後,afternoon
487,高等學生,a college student
488,坊,circle
489,五,fives
490,健康,health
491,水泳場,a swimming pool
492,約,agree
493,會社員,a member of a society
494,川空,the sky of the river
495,週日,Sunday
496,後,afterwards
497,寢,bed
498,日,day
499,舍,abode
500,濯,wash
501,護師,nurse
