Unnamed: 0,hanja_subsequence,english_translation
191,萬,ten thousand
192,案內,the inside
193,常,all the time
194,地下鐵驛,subway station
195,掃,sweep
196,內,inside
197,廳,office
198,泳,swim
199,生,bear
200,洲,continental
201,遞,hand over
202,家族,family
203,心,heart
204,仁川空,Incheon Airport
205,跆,kick
206,親舊,close friendship with the old.
207,質問,question
208,工,engineer
209,鐵驛,a railroad station
210,醫,heal
211,小包,a small bag
212,料理師,cook
213,十一,eleven
214,館,gallery
215,午前,before noon
216,感,feel
217,自,self
218,約束,constrain
219,漢拏,Chinese yam
220,港,harbor
221,夫,husband
222,每,every time
223,看護,nurse
224,鳴,chime
225,話,a word
226,濠,a mountain
227,下鐵,cast iron
228,汽,steam
229,音樂,music
230,康,fit
231,電話,Phone number.
232,初等學,elementary school
233,空港,an air port
234,車場,a parking lot
235,色,colour
236,線,thread
237,今,this day
238,放,let slide
239,族,family
240,語,language
241,逸,loose
242,韓國語,Korea language
243,週,week
244,案,plan
245,拳,punch
246,公,public
247,務室,office
248,大學生,a college student
249,三,three
250,曜日,observation day
251,蹴球,kick a ball
252,街,street
253,地,earth
254,川,stream
255,飮,飮
256,川空港,Sichuan Airport
257,葉書,leaf book
258,金曜日,a golden day
259,綠茶,green tea
260,籍,register
261,號線,line
262,前,background
263,敎室,classroom
264,初等,elementary school
265,記,record
266,票,ticket
267,五月,May.
268,金曜,gold observation
269,街坊,neighborhood
270,十二,twelve
271,試,experimentally
272,空冊,an empty book
273,會,"Yes, sir."
274,聞,smell
275,携帶,carry
276,午,afternoon
277,濟,save
278,號,number
279,利用,make use
280,野,wild
281,球,ball
282,飛行機,a flying machine
283,溫,warm
284,寫眞,photograph
285,行員,clerk
286,國籍,nationality
287,來日,the next day
288,校,school
289,月曜日,obsidian day
290,宿舍,hostel
291,韓國,韓國
292,洗,wash
293,十二月,December
294,果,fruit
295,麵,countenance
296,高等,advanced
297,灰,dust
298,冷麵,cold noodles
299,運轉,run
300,典,book
301,口,mouth
302,木曜,observation
303,地下鐵,subway
304,雨傘,umbrella
305,圖書,book
306,土曜,earth observation
307,子,son
308,市內,the inner city
309,自主,independence
310,敎,teach
311,跆拳道,kickboxing
312,醫師,Doctor.
313,登山,climb a mountain
314,住所,residence
315,事,event
316,牛,cattle
317,末,the last
318,感氣,be moved by
319,究員,researcher
320,出,come out
321,旅行,travel
322,舊,old days
323,至難,the greatest difficulty
324,麥酒,ale
325,本,book
326,寢臺,bedside
327,園,garden
328,記者,a journalist
329,一,one
330,年,year
331,筆,brush
332,新聞,news
333,日記,diary
334,冷藏,refrigeration
335,氣分,air
336,分,share
337,每日,every day
338,道,way
339,濟州,Jeju Island
340,日本語,Japanese language
341,投,cast
342,酒,wine
343,頭,head
344,自轉車,a revolving car
345,藏庫,a repository
346,拏,拏
347,仁,benevolence
348,硏,study
349,庫,bank
350,火曜,fire observation
351,州島,a state island
352,昨年,last year
353,十萬,one hundred thousand
354,月,month
355,鉛筆,pencil
356,事務,business
357,漢,Chinese
358,問,ask
359,葡,Portuguese
360,來,Come on.
361,利,benefit
362,綠,green
363,牛乳,milk
364,土曜日,obsidian day
365,洗濯,wash
366,至,come to
367,洗濯所,a washing house
368,帶,carry
369,飮食,食eat
370,電,electricity
371,女子,a woman
372,薔薇,rose
373,辭典,dictionary
374,濯所,a washroom
375,菜,dish
376,料,material
377,驗,check
378,食,eat
379,難,difficult
380,椅,chair
381,劇,dramatic
382,郵遞局,post office
383,點,point
384,日曜日,obsidian day
385,下鐵驛,get off at a railroad station
386,番,several times
387,料金,material gold
388,葡萄,grape
389,會社,association
390,雨,rain
391,車,car
392,釜,kettle
393,學生,student
394,高,be high
395,結婚,get married
396,旅,brigades
397,英語,English
398,病,illness
399,健,strong
400,畵,paint
401,突,out of heart
402,時間表,timetable
403,公園,park
404,行社,a local government
405,職,duty
406,月曜,observation
407,貨,article
408,看護師,nurse
409,業,industry
410,男便,a man's stool
411,溫突房,thermal shock chamber
412,空,empty
413,苦,bitter
414,二月,February
415,理師,a management officer
416,褐色,brownish
417,話番,the last word
418,苦悶,anguish
419,淸掃,clean up
420,氣,air
421,題,title
422,小,small
423,化,change
424,音,sound
425,帽,hat
426,只,only
427,學,learn
428,女,woman
429,百貨店,department store
430,釜山,"Busan, Republic of"
431,夕,evening
432,窓門,门door
433,中學生,a middle school student
434,跆拳,kickboxing
435,店,shop
436,同生,be of the same birth
437,茶,tea
438,局,department
439,獨逸,be alone
440,究,investigate
441,水泳,swim in the water
442,二,two
443,他,him
444,拏山,a mountain
445,泳場,swimming pool
446,郵,mail
447,映,reflect
448,行,"Yes, sir."
449,食堂,dining room
450,料理,cook
451,時,time
452,九,nine
453,束,bundle
454,映畵,picture
455,中學,secondary school
456,紙,paper
457,中國語,Chinese language
458,房,house
459,出發,Let's go.
460,美國,the United States
461,冷藏庫,cold storage
462,仁川空港,Incheon Airport
463,同,agree
464,濠洲,"Hao Chau, New Territories"
465,汽車,an automobile
466,休暇,break
467,國,country
468,化粧室,make-up
469,初等學生,elementary school student
470,硏究員,researcher
471,十,ten
472,下,drop
473,宿,bed
474,野球,a wild ball
475,親,close
476,銀行,bank
477,驛,post
478,恒,constant
479,質,quality
480,圖書館,library
481,駐,stop
482,帽子,hat
483,島,island
484,便紙,paper
485,電話番,a telephone operator
486,午後,afternoon
487,高等學生,a college student
488,坊,circle
489,五,fives
490,健康,health
491,水泳場,a swimming pool
492,約,agree
493,會社員,a member of a society
494,川空,the sky of the river
495,週日,Sunday
496,後,afterwards
497,寢,bed
498,日,day
499,舍,abode
500,濯,wash
501,護師,nurse
0,䖚,䖚
1,威,dignity
2,牧,pasture
3,蒮,蒮
4,愾,harden
5,㥶,㥶
6,㜹,㜹
7,挓,挓
8,滶,滶
9,狠,hard
10,蛖,蛖
11,畂,畂
12,㥔,㥔
13,洦,洦
14,牑,牑
15,卙,卙
16,巉,crag
17,繖,this way
18,旇,旇
19,舏,舏
20,屍,dead body
21,鷴,pheasant
22,矠,矠
23,垣,fence
24,倚,lean on
25,蔿,蔿
26,荆,thorns
27,孔,a hole
28,啧,with a button
29,櫡,櫡
30,漆,paint
31,颷,颷
32,釲,釲
33,缥,be in the air
34,碮,碮
35,怲,怲
36,尓,you
37,哤,哤
38,棛,棛
39,岖,rugged
40,熐,熐
41,瑳,瑳
42,赇,赇
43,炳,bright
44,霂,a full house
45,帝,emperor
46,㐈,㐈
47,粂,粂
48,宍,宍
49,齑,break
50,闓,open
51,鶍,鶍
52,厡,厡
53,弬,弬
54,摽,stick together
55,袁,circle
56,怟,怟
57,䠡,䠡
58,虒,虒
59,斪,斪
60,笻,笻
61,冥,faintly
62,甧,甧
63,氝,氝
64,狲,spread
65,鼥,鼥
66,劸,劸
67,翰,chap
68,戠,all over the world
69,埤,basin
70,媧,Wa of a feather
71,姨,aunt
72,塝,塝
73,卑,humble
74,鸲,red robin
75,蠼,earwig
76,㴕,㴕
77,内,inside
78,鞑,bear
79,㸢,㸢
80,膒,膒
81,痧,scour
82,䁒,䁒
83,穑,cultivate
84,狤,狤
85,幖,幖
86,䐮,䐮
87,葈,葈
88,䎽,䎽
89,簑,coo
90,猂,猂
91,䳍,䳍
92,捍,defend
93,镺,镺
94,瓯,ou
95,谢,decline
96,䀲,䀲
97,㹝,㹝
98,委,delegate
99,叞,叞
100,㛏,㛏
101,䜒,䜒
102,鯿,go to one's sake
103,並,together
104,熒,glimmer
105,狾,cattle
106,拱,arch
107,賒,credit
108,絻,絻
109,㤇,㤇
110,瑅,瑅
111,㕐,㕐
112,腮,cheek
113,費,cost
114,擆,擆
115,笧,笧
116,媞,bear
117,㻙,㻙
118,異,different
119,邛,bear
120,旛,旛
121,椪,come to the surface
122,郱,郱
123,髣,髣
124,䤏,䤏
125,笶,笶
126,婔,婔
127,柌,柌
128,芫,coriander
129,䥼,䥼
130,鬥,fight
131,詖,詖
132,蜲,蜲
133,鋬,鋬
134,㣤,㣤
135,䂁,䂁
136,䶨,䶨
137,芊,break
138,述,tell
139,衵,衵
140,直員,direct member
141,廼,廼
142,墦,墦
143,驃,hussy
144,费,cost
145,诗,poem
146,笹,笹
147,髮,emit
148,㔭,㔭
149,䗐,䗐
150,圌,圌
151,母,mother
152,茇,茇
153,皫,皫
154,䜺,䜺
155,蹭,rub
156,䯸,䯸
157,灐,灐
158,薾,薾
159,偹,偹
160,逺,逺
161,偍,偍
162,緐,緐
163,鐽,鐽
164,㐞,㐞
165,熱,hot
166,砂,sand
167,䞽,䞽
168,肔,肔
169,䡟,䡟
170,翲,翲
171,籭,籭
172,鄪,鄪
173,钔,chime
174,笇,笇
175,鼶,鼶
176,䔶,䔶
177,㐅,㐅
178,瀦,catch
179,瘷,瘷
180,汗,sweat
181,㵔,㵔
182,蜡,wax
183,鈨,鈨
184,旹,旹
185,妴,妴
186,暥,暥
187,瀪,瀪
188,蛇,snake
189,鵧,鵧
190,勃,rough
191,墢,墢
192,揑,to bevel
193,挩,挩
194,贲,sound
195,跃,leap
196,懼,fear
197,晼,晼
198,㪋,㪋
199,秠,秠
200,魬,魬
201,虨,虨
202,傆,傆
203,䢜,䢜
204,溢,overflow
205,抈,抈
206,慓,慓
207,䃓,䃓
208,夷,banish
209,鴯,emulation
210,豻,豻
211,毓,be fullness
212,駌,駌
213,笱,overpowering
214,千,thousand
215,㚰,㚰
216,㞈,㞈
217,㬳,㬳
218,瀚,vast
219,䪬,䪬
220,蓛,蓛
221,蘩,have a purpose
222,妢,妢
223,嵶,嵶
224,苡,long ago
225,貔,brave
226,䂅,䂅
227,洴,洴
228,汉,Chinese
229,㣱,㣱
230,榜,list
231,贳,贳
232,浯,angle
233,綍,綍
234,覵,覵
235,㔈,㔈
236,湲,湲
237,荸,water chestnut
238,吴,Oh!
239,匙,spoon
240,犤,犤
241,銆,the whole world
242,㳪,㳪
243,䆤,䆤
244,䖃,䖃
245,譛,譛
246,偲,class
247,珥,call
248,肂,肂
249,伴,companion
250,槩,槩
251,篻,篻
252,㿎,㿎
253,洊,洊
254,槶,槶
255,绑,bind
256,涠,weave
257,㮣,㮣
258,亖,亖
259,錺,錺
260,豶,豶
261,炯,burn
262,䬧,䬧
263,餷,餷
264,㭟,㭟
265,灺,灺
266,敇,敇
267,汸,汸
268,耜,cattle
269,奈,barely
270,㜞,㜞
271,颶,hurriches
272,㗏,㗏
273,彼,that
274,倽,倽
275,䯯,䯯
276,鏼,鏼
277,䶂,䶂
278,鰁,鰁
279,廊,gallery
280,傡,傡
281,朆,朆
282,䨷,䨷
283,賖,賖
284,䔈,䔈
285,絆,stumble
286,䃟,䃟
287,唆,instigate
288,䒲,䒲
289,壹,one
290,伯,uncle
291,痠,sour
292,娲,Wa of a feather
293,朑,朑
294,厍,an area of water
295,䮺,䮺
296,蚱,grasshopper
297,塮,塮
298,涅,naught
299,䇺,䇺
300,翄,翄
301,偽,sham
302,隶,subordinate
303,鸣,chime
304,愿,wish
305,㓸,㓸
306,䤯,䤯
307,銲,soldering board
308,頓,break
309,㢮,㢮
310,䠶,䠶
311,㪚,㪚
312,㐂,㐂
313,㫚,㫚
314,逗,make fun out of
315,济,save
316,殴,beat
317,駈,駈
318,睼,睼
319,㢲,㢲
320,氚,tritium
321,㴲,㴲
322,蠩,蠩
323,改,alter
324,睦,harmonious
325,圄,jail
326,期,date
327,欋,欋
328,黺,黺
329,蓜,蓜
330,粫,粫
331,㡳,㡳
332,杦,杦
333,斉,斉
334,唶,唶
335,萗,萗
336,珆,珆
337,亠,亠
338,楲,楲
339,漂,float
340,狉,狉
341,惌,惌
342,庎,庎
343,髲,髲
344,呴,呴
345,㑪,㑪
346,蒜,garlic
347,瘢,scar
348,趄,crumble
349,堉,still
350,禴,禴
351,疸,be ill-tempered
352,㫉,㫉
353,汌,汌
354,竏,竏
355,共,altogether
356,反,counter
357,㰪,㰪
358,遮,cover
359,伫,still
360,氏,the last year
361,㳟,㳟
362,䃲,䃲
363,虦,虦
364,䨑,䨑
365,埪,埪
366,魦,魦
367,騈,騈
368,隦,隦
369,坶,mat
370,鞁,鞁
371,嘳,嘳
372,绨,old-fashioned
373,㿑,㿑
374,毭,毭
375,䚶,䚶
376,饴,enjoy
377,㖇,㖇
378,崣,崣
379,艬,艬
380,砵,port
381,㨢,㨢
382,异,different
383,犚,犚
384,贵,expensive
385,絿,絿
386,抦,抦
387,噆,噆
388,驫,驫
389,絁,絁
390,盃,cup
391,潑,rash
392,蕵,蕵
393,藯,藯
394,㓳,㓳
395,㞔,㞔
396,臼,mortar
397,逬,逬
398,乨,乨
399,毸,毸
400,視聽,audiovisual observation
401,嗷,whine
402,潵,a back road
403,嫻,excel
404,驐,驐
405,奃,奃
406,鳼,鳼
407,髸,髸
408,鋍,鋍
409,躷,躷
410,细,detailed
411,辈,generation
412,㢒,㢒
413,㶨,㶨
414,䤵,䤵
415,帮,help
416,葯,medicine
417,霶,霶
418,困,feel sleepy
419,䡧,䡧
420,顸,thick
421,飔,飔
422,欍,欍
423,嫄,嫄
424,囸,囸
425,蓡,蓡
426,䂠,䂠
427,什,what
428,斊,斊
429,㽛,㽛
430,嶴,嶴
431,䬽,䬽
432,暟,暟
433,岣,Gosausee; Gosausee; Gosausee; Gosausee
434,㻗,㻗
435,顋,顋
436,荗,荗
437,趶,趶
438,㩐,㩐
439,㛘,㛘
440,琖,琖
441,舫,float
442,婢,handmaid
443,焷,焷
444,凱,"- Hey, sir."
445,纹,grain
446,紁,紁
447,偖,偖
448,觩,觩
449,䁗,䁗
450,泶,泶
451,纷,clash
452,笓,笓
453,齇,country
454,薭,薭
455,賯,賯
456,匚,one's status
457,㯏,㯏
458,䋦,䋦
459,㢫,㢫
460,屨,return
461,蕆,蕆
462,主日,Sunday
463,眍,deep
464,簈,簈
465,工員,crew
466,䫤,䫤
467,盆,bowl
468,龟,turtle
469,玖,nine
470,僞,sham
471,䲫,䲫
472,㰆,㰆
473,㽨,㽨
474,禇,禇
475,夁,夁
476,酸,sour
477,䣛,䣛
478,孫,grandchild
479,箷,箷
480,駹,駹
481,俳,a haiku; a haiku.
482,慐,慐
483,邇,near
484,瑩,(Anna)
485,斁,斁
486,䵊,䵊
487,遘,fall in
488,蹝,蹝
489,酛,酛
490,鋜,鋜
491,㯉,㯉
492,䉈,䉈
493,药,medicine
494,埡,a mountain pass
495,吻,kiss
496,炦,炦
497,哜,swarmy
498,蚌,clam
499,䳁,䳁
500,辵,辵
501,戤,戤
502,援,support
503,琾,琾
504,鉇,鉇
505,秚,秚
506,逶,winding
507,㡱,㡱
508,䴼,䴼
509,螷,螷
510,燔,burn
511,覗,覗
512,䂵,䂵
513,垪,垪
514,藨,ribes
515,夠,enough
516,倴,倴
517,麲,麲
518,薸,薸
519,㖶,㖶
520,些,a little bit
521,头,head
522,箢,箢
523,䫨,䫨
524,刖,run off the water
525,怑,怑
526,倒,fall off
527,鸳,Chinese mandarin
528,䏷,䏷
529,䞄,䞄
530,䐤,䐤
531,䛄,䛄
532,䱿,䱿
533,陡,abruptly
534,斐,extraordinary
535,頨,頨
536,㗮,㗮
537,䈂,䈂
538,娙,娙
539,赝,sham
540,䐣,䐣
541,柿,dried persimmon
542,䫅,䫅
543,兄,elder brother
544,潡,潡
545,乆,乆
546,櫫,discover
547,瑏,瑏
548,䊦,䊦
549,寒,cold
550,飚,fly
551,际,brink
552,齐,all
553,瓰,瓰
554,㲃,㲃
555,礻,礻
556,鄙,despise
557,妨,harm
558,桟,桟
559,㐻,㐻
560,盞,bowl
561,䫢,䫢
562,奲,奲
563,硰,硰
564,标,mark
565,猪,pig
566,踷,踷
567,褆,stony
568,䎟,䎟
569,歪,be crooked
570,佇,still
571,遻,遻
572,逊,be inferiority
573,墋,墋
574,䠧,䠧
575,惭,ashamed
576,㱝,㱝
577,㠹,㠹
578,澣,澣
579,胃,stomach
580,䬠,䬠
581,䵦,䵦
582,衺,衺
583,次,second
584,䣃,䣃
585,㓦,㓦
586,欨,欨
587,苴,Yes.
588,騵,騵
589,䳃,䳃
590,謗,slander
591,贡,pay tribute
592,姗,slow
593,䔑,䔑
594,捨,abode
595,䍐,䍐
596,蕃,wild
597,䛷,䛷
598,輽,輽
599,飃,飃
600,燀,燀
601,姒,make a personally
602,齪,dirty
603,肞,肞
604,俷,俷
605,蘥,蘥
606,跻,break
607,集,gather
608,鉞,again
609,䤫,䤫
610,㺫,㺫
611,雧,雧
612,渄,渄
613,騙,deceive
614,㑥,㑥
615,珬,珬
616,洱,er
617,鈵,鈵
618,衃,衃
619,泆,泆
620,珶,珶
621,䯔,䯔
622,䢸,䢸
623,迮,respect
624,䏢,䏢
625,訯,訯
626,鎧,armour
627,鯾,鯾
628,䰁,䰁
629,眗,眗
630,伞,umbrella
631,墛,墛
632,䵻,䵻
633,鯊,shark
634,愳,愳
635,㶆,㶆
636,鲚,brood
637,糒,糒
638,师,master
639,扞,defend
640,豍,豍
641,䖠,䖠
642,墺,墺
643,㐾,㐾
644,沜,沜
645,椮,椮
646,䉯,䉯
647,軧,軧
648,嵵,嵵
649,嘥,put on the back burner
650,䣵,䣵
651,趆,趆
652,䃴,䃴
653,㵒,㵒
654,磾,磾
655,俣,one's first
656,㰑,㰑
657,闅,闅
658,疲困,be tired and sleepy
659,倭,Japanese army
660,峖,峖
661,阺,阺
662,熋,熋
663,爚,爚
664,眱,眱
665,皆,all
666,苩,苩
667,刵,刵
668,邳,邳
669,吾,my
670,榘,upright
671,㖹,㖹
672,扯,cuff
673,迆,fresh water
674,舎,舎
675,㳑,㳑
676,倍,double
677,噠,clatter
678,猹,猹
679,扠,扠
680,轏,轏
681,絠,絠
682,瀊,瀊
683,辝,辝
684,䰺,䰺
685,储,save
686,䓊,䓊
687,䮅,䮅
688,閱,read
689,使,assign
690,蠜,蠜
691,厗,厗
692,媲,comparable to
693,囹,ensign
694,魵,魵
695,毚,毚
696,髀,back off
697,㺴,㺴
698,䑵,䑵
699,吳,Oh!
700,穿,fit
701,穛,穛
702,参,participate
703,虀,虀
704,㜛,㜛
705,荥,the Xing dynasty
706,躎,躎
707,梆,clap
708,泎,泎
709,䊄,䊄
710,死前,before one's death
711,饙,饙
712,炖,stew
713,䏗,䏗
714,娨,娨
715,紋,grain
716,雦,雦
717,構,frame
718,羝,electricity
719,饨,bowl
720,算,count
721,葅,葅
722,飩,bowl
723,脐,umbilical cord
724,堏,堏
725,昫,昫
726,㡚,㡚
727,偾,rake
728,兡,兡
729,栱,栱
730,䣇,䣇
731,㯁,㯁
732,㪷,㪷
733,䜑,䜑
734,暃,暃
735,肦,肦
736,䧱,䧱
737,廄,stable
738,攀,clamber
739,朌,朌
740,飴,enjoy
741,䳹,䳹
742,伾,伾
743,玐,玐
744,麝,musk deer
745,上,mount
746,淯,淯
747,骶,sacrum
748,驅,drive
749,㔟,㔟
750,㘗,㘗
751,赔,make amply
752,㺥,㺥
753,腓,fibula; fibula; fibula
754,䎠,䎠
755,祭,sacrifice
756,䬫,䬫
757,㵸,㵸
758,暆,暆
759,滛,滛
760,䑱,䑱
761,㯃,㯃
762,㙎,㙎
763,㺕,㺕
764,酘,酘
765,㐶,㐶
766,鮚,鮚
767,㑨,㑨
768,㔑,㔑
769,萆,be different colors
770,㗕,㗕
771,㥐,㥐
772,睤,睤
773,硿,硿
774,邗,bank
775,錾,chisel
776,颁,award
777,閑,leisure
778,洏,洏
779,箆,箆
780,龔,public service
781,吤,吤
782,穯,穯
783,䳱,䳱
784,妪,woman
785,咭,card
786,簅,簅
787,緹,twine
788,衏,衏
789,篟,篟
790,軷,軷
791,湤,湤
792,韑,韑
793,韩,Korean
794,聏,聏
795,䍈,䍈
796,歋,歋
797,佾,the Holy Grail
798,㕽,㕽
799,鼢,鼢
800,颹,颹
801,違,go against
802,馓,compound
803,㢖,㢖
804,㟁,㟁
805,脝,rough
806,兝,兝
807,聥,聥
808,蒍,蒍
809,渒,渒
810,鱍,鱍
811,弙,弙
812,䝭,䝭
813,䪃,䪃
814,伺,wait on
815,戌,eight
816,垾,垾
817,㚸,㚸
818,軥,軥
819,卫,defend
820,蛻,lose one's skin
821,腃,腃
822,蝯,蝯
823,㫨,㫨
824,岄,岄
825,螕,螕
826,䩁,䩁
827,㻰,㻰
828,柀,柀
829,嵳,嵳
830,㚷,㚷
831,㥇,㥇
832,滮,滮
833,粪,dung
834,肶,肶
835,阫,阫
836,旊,旊
837,蜱,tick
838,橔,橔
839,寇,rebel
840,㟫,㟫
841,笪,David.
842,㸷,㸷
843,㻤,㻤
844,岨,岨
845,趸,all
846,擠,squeeze
847,䜵,䜵
848,鰙,鰙
849,握,hold
850,抠,dig
851,䣲,䣲
852,错,be wrong
853,朐,law
854,已,already
855,㯅,㯅
856,粵,canton
857,㚱,㚱
858,蹉,lose one's fingers
859,庅,庅
860,谝,flatter
861,貯,save
862,哼,hmmmmmmmmmmm
863,騴,騴
864,肍,肍
865,辻,辻
866,谓,call
867,瓸,瓸
868,㱕,㱕
869,䕆,䕆
870,㽜,㽜
871,灛,灛
872,恖,恖
873,䑎,䑎
874,衡,weigh
875,㓟,㓟
876,悙,悙
877,攙,absorb
878,䀟,䀟
879,韙,condemn
880,疿,疿
881,祘,祘
882,䳙,䳙
883,赐,confer
884,桏,桏
885,㺵,㺵
886,嬱,嬱
887,懣,anger
888,帛,silk
889,粊,粊
890,问,ask
891,璈,璈
892,㗱,㗱
893,簲,簲
894,躉,all
895,飧,bowl
896,塹,cut
897,篨,篨
898,排,line up
899,苎,ramie
900,眆,眆
901,彞,one's wife
902,粉,powder
903,㼢,㼢
904,䨃,䨃
905,鶸,鶸
906,豚,dolphin
907,舭,bilge
908,齟,break
909,蛵,蛵
910,幓,幓
911,躣,躣
912,坾,坾
913,䇽,䇽
914,恺,pleasant
915,㻻,㻻
916,耳,ear
917,鉶,鉶
918,栬,栬
919,踐,practice
920,䪛,䪛
921,玔,玔
922,醦,醦
923,㨮,㨮
924,奓,奓
925,诟,criticize
926,秊,秊
927,軿,軿
928,蠯,蠯
929,攽,攽
930,髟,a saddle
931,羠,羠
932,沮,be depressed
933,䍆,䍆
934,阌,be ready for action
935,引渡,deliver
936,唓,唓
937,葠,Tell me.
938,賁,sound
939,㿡,㿡
940,涚,涚
941,具,set afoot
942,䒤,䒤
943,衈,衈
944,䫒,䫒
945,貢,pay tribute
946,到,Here we go.
947,昲,昲
948,浢,浢
949,㟼,㟼
950,闼,excel
951,郚,郚
952,䬷,䬷
953,䈈,䈈
954,㠯,㠯
955,陘,a steep hill
956,枸,Chinese wolf
957,㖐,㖐
958,邧,邧
959,蹯,weave
960,䤰,䤰
961,蓑,coo
962,匂,匂
963,䡝,䡝
964,铒,erbium; erbium
965,驲,驲
966,㲡,㲡
967,㶿,㶿
968,顨,顨
969,钥,key
970,㒓,㒓
971,撥,set afoot
972,䬮,䬮
973,儕,class
974,㬓,㬓
975,蔸,蔸
976,䮧,䮧
977,䴅,䴅
978,䜼,䜼
979,怡,pleasant
980,譬,example
981,韆,thousand
982,視界,horizon
983,蒇,蒇
984,㓲,㓲
985,複,reply
986,迁,move
987,箬,feel
988,焙,bake
989,達,attain
990,䲩,䲩
991,鴮,鴮
992,壭,壭
993,䇨,䇨
994,鋀,鋀
995,揹,carry
996,未,not yet
997,而,while
998,魨,puffer
999,敂,敂
1000,遷,move
1001,蹅,蹅
1002,瞉,瞉
1003,䴠,䴠
1004,䢛,䢛
1005,胚,embryo
1006,鐨,鐨
1007,疓,疓
1008,戵,戵
1009,嚌,swarmy
1010,跩,waddle
1011,䛱,䛱
1012,嵨,嵨
1013,私,privately
1014,䩘,䩘
1015,缾,缾
1016,哱,哱
1017,摳,dig
1018,嘶,hiss
1019,浗,浗
1020,鷭,鷭
1021,贠,贠
1022,臶,臶
1023,㑘,㑘
1024,軰,軰
1025,炍,炍
1026,笥,one's best friend
1027,膀,arm
1028,悮,悮
1029,詆,slander
1030,㡹,㡹
1031,軏,軏
1032,䶦,䶦
1033,翅,wing
1034,䭯,䭯
1035,奮,burn
1036,㢽,㢽
1037,罕,rare
1038,鼾,snore
1039,仟,thousand
1040,備,arrange
1041,㼀,㼀
1042,啻,as much as
1043,捠,捠
1044,恲,恲
1045,徣,徣
1046,枋,a place of a building
1047,殔,殔
1048,熨,iron
1049,癯,be thin
1050,爂,爂
1051,䀸,䀸
